x_dist,y_dist,xvel,yvel
2.270018945,204.5,6.8,0
2.270018945,197.7,6.9,0.04
2.230018945,190.8,7,0
2.230018945,183.8,7.1,0.04
2.190018945,176.7,7.2,0
2.190018945,169.5,7.3,0.04
2.150018945,162.2,7.4,0
2.150018945,154.8,7.5,0.04
2.110018945,147.3,7.6,0
2.110018945,139.7,7.7,0.04
2.070018945,132,7.8,0
2.070018945,124.2,7.9,0.04
2.030018945,116.3,8,0
2.030018945,108.3,8,0
2.030018945,100.3,8,0
2.030018945,92.3,8,0
2.030018945,84.3,8,0
2.030018945,76.3,8,0
2.030018945,68.3,8,0
175.9944915,431.9,0,0
175.9944915,431.9,-0.1,0.04
175.9544915,432,-0.2,0
175.9544915,432.2,-0.3,0.04
175.9144915,432.5,-0.4,0
175.9144915,432.9,-0.5,0.04
175.8744915,433.4,-0.6,0
175.8744915,434,-0.7,0.04
175.8344915,434.7,-0.8,0
175.8344915,435.5,-0.9,0.04
175.7944915,436.4,-1,0
175.7944915,437.4,-1.1,0.04
175.7544915,438.5,-1.2,0
175.7544915,439.7,-1.3,0.04
175.7144915,441,-1.4,0
175.7144915,442.4,-1.5,0.04
175.6744915,443.9,-1.6,0
175.6744915,445.5,-1.7,0.04
175.6344915,447.2,-1.8,0
175.6344915,449,-1.9,0.04
175.5944915,450.9,-2,0
175.5944915,452.9,-2.1,0.04
175.5544915,455,-2.2,0
175.5544915,457.2,-2.3,0.04
175.5144915,459.5,-2.4,0
175.5144915,461.9,-2.5,0.04
175.4744915,464.4,-2.6,0
175.4744915,467,-2.7,0.04
175.4344915,469.7,-2.8,0
175.4344915,472.5,-2.9,0.04
175.3944915,475.4,-3,0
175.3944915,478.4,-3.1,0.04
175.3544915,481.5,-3.199878165,0.006979899
175.3475116,484.6998782,-3.299390975,-0.019068806
175.3665804,487.9992691,-3.398295355,0.041836887
175.3247435,491.3975645,-3.496348968,0.029671507
175.295072,494.8939135,-3.593310519,0.024401142
175.2706708,498.487224,-3.688940039,0.025983481
175.2446874,502.176164,-3.782999184,0.03436786
175.2103195,505.9591632,-3.682999184,-0.00563214
175.2159516,509.6421624,-3.582999184,0.03436786
175.1815838,513.2251616,-3.482999184,-0.00563214
175.1872159,516.7081608,-3.382999184,0.03436786
175.1528481,520.0911599,-3.282999184,-0.00563214
175.1584802,523.3741591,-3.182999184,0.03436786
175.1241123,526.5571583,-3.082999184,-0.00563214
175.1297445,529.6401575,-2.982999184,0.03436786
175.0953766,532.6231567,-2.882999184,-0.00563214
175.1010088,535.5061559,-2.782999184,0.03436786
175.0666409,538.289155,-2.682999184,-0.00563214
175.072273,540.9721542,-2.582999184,0.03436786
175.0379052,543.5551534,-2.482999184,-0.00563214
175.0435373,546.0381526,-2.382999184,0.03436786
175.0091695,548.4211518,-2.282999184,-0.00563214
175.0148016,550.704151,-2.182999184,0.03436786
174.9804337,552.8871502,-2.082999184,-0.00563214
174.9860659,554.9701493,-1.982999184,0.03436786
174.951698,556.9531485,-1.882999184,-0.00563214
174.9573302,558.8361477,-1.782999184,0.03436786
174.9229623,560.6191469,-1.682999184,-0.00563214
174.9285944,562.3021461,-1.582999184,0.03436786
174.8942266,563.8851453,-1.482999184,-0.00563214
174.8998587,565.3681444,-1.382999184,0.03436786
174.8654909,566.7511436,-1.282999184,-0.00563214
174.871123,568.0341428,-1.182999184,0.03436786
174.8367551,569.217142,-1.082999184,-0.00563214
174.8423873,570.3001412,-0.982999184,0.03436786
174.8080194,571.2831404,-0.882999184,-0.00563214
174.8136516,572.1661396,-0.782999184,0.03436786
174.7792837,572.9491387,-0.682999184,-0.00563214
174.7849158,573.6321379,-0.582999184,0.03436786
174.750548,574.2151371,-0.482999184,-0.00563214
174.7561801,574.6981363,-0.382999184,0.03436786
174.7218123,575.0811355,-0.282999184,-0.00563214
174.7274444,575.3641347,-0.182999184,0.03436786
174.6930766,575.5471338,-0.082999184,-0.00563214
174.6987087,575.630133,0.017000816,0.03436786
174.6643408,575.6131322,0.117000816,-0.00563214
174.669973,575.4961314,0.217000816,0.03436786
174.6356051,575.2791306,0.317000816,-0.00563214
174.6412373,574.9621298,0.417000816,0.03436786
174.6068694,574.5451289,0.517000816,-0.00563214
174.6125015,574.0281281,0.617000816,0.03436786
174.5781337,573.4111273,0.717000816,-0.00563214
174.5837658,572.6941265,0.817000816,0.03436786
174.549398,571.8771257,0.917000816,-0.00563214
174.5550301,570.9601249,1.017000816,0.03436786
174.5206622,569.9431241,1.117000816,-0.00563214
174.5262944,568.8261232,1.217000816,0.03436786
174.4919265,567.6091224,1.317000816,-0.00563214
174.4975587,566.2921216,1.417000816,0.03436786
174.4631908,564.8751208,1.517000816,-0.00563214
174.4688229,563.35812,1.617000816,0.03436786
174.4344551,561.7411192,1.717000816,-0.00563214
174.4400872,560.0241183,1.817000816,0.03436786
174.4057194,558.2071175,1.917000816,-0.00563214
174.4113515,556.2901167,2.017000816,0.03436786
174.3769836,554.2731159,2.117000816,-0.00563214
174.3826158,552.1561151,2.217000816,0.03436786
174.3482479,549.9391143,2.317000816,-0.00563214
174.3538801,547.6221134,2.417000816,0.03436786
174.3195122,545.2051126,2.517000816,-0.00563214
